,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
22,frozenset({'bread'}),frozenset({'squares'}),0.12859791985809885,0.025477707006369428,0.005482544545674433,0.04263322884012539,1.6733542319749215,0.002206164421901214,1.0179194874425939,0.46178212217529496,"(1595,)","(316,)"
54,frozenset({'cookies'}),frozenset({'savoury'}),0.13150044344110295,0.1451261791502056,0.031524631137628,0.23973022685469042,1.6518744464881807,0.01244047422446301,1.1244348401661408,0.4543780265783319,"(1631,)","(1800,)"
55,frozenset({'savoury'}),frozenset({'cookies'}),0.1451261791502056,0.13150044344110295,0.031524631137628,0.21722222222222226,1.6518744464881807,0.01244047422446301,1.1095097244897194,0.4616203057909829,"(1800,)","(1631,)"
7,frozenset({'cookies'}),frozenset({'bread'}),0.13150044344110295,0.12859791985809885,0.027654599693622512,0.2103004291845494,1.6353330552827374,0.010743916206679093,1.1034602427883857,0.44732753851633483,"(1631,)","(1595,)"
6,frozenset({'bread'}),frozenset({'cookies'}),0.12859791985809885,0.13150044344110295,0.027654599693622512,0.21504702194357367,1.6353330552827372,0.010743916206679093,1.1064351379484352,0.44583755041616946,"(1595,)","(1631,)"
56,frozenset({'cookies'}),frozenset({'scones'}),0.13150044344110295,0.025719583971619768,0.005401918890590986,0.041079092581238506,1.5971911764423237,0.0020197821932023026,1.0160174926740972,0.4305136035381947,"(1631,)","(319,)"
57,frozenset({'scones'}),frozenset({'cookies'}),0.025719583971619768,0.13150044344110295,0.005401918890590986,0.21003134796238246,1.5971911764423237,0.0020197821932023026,1.099410152945588,0.38377131225698724,"(319,)","(1631,)"
81,frozenset({'bread'}),"frozenset({'cookies', 'cakes'})",0.12859791985809885,0.026364589212287348,0.005401918890590986,0.04200626959247649,1.593283675093229,0.00201148755997756,1.0163275394020952,0.42731752046576893,"(1595,)","(1631, 6073)"
80,"frozenset({'cookies', 'cakes'})",frozenset({'bread'}),0.026364589212287348,0.12859791985809885,0.005401918890590986,0.20489296636085627,1.593283675093229,0.00201148755997756,1.0959556931015448,0.38244847310318236,"(1631, 6073)","(1595,)"
51,frozenset({'cookies'}),frozenset({'pastry'}),0.13150044344110295,0.06659679109892767,0.013303233088768846,0.10116492949110975,1.5190661264869665,0.004545725527505359,1.038458822454058,0.39343809427359383,"(1631,)","(826,)"
