product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
6 Pecan Citrus Scones,Bread & Butter Bakery and Fine Pastries,scones,70,1784.750,-2.250,-135.000,1647.500,0.000,1647.500
Peach Pie,Bread & Butter Bakery and Fine Pastries,pie,76,1710.200,0.000,-67.900,1642.300,0.000,1642.300
8 Cup Plum Pudding,Bread & Butter Bakery and Fine Pastries,Cookies,56,1653.000,0.000,-29.000,1624.000,0.000,1624.000
Cinnamon Buns- 4 pack,Bread & Butter Bakery and Fine Pastries,,80,1726.500,-82.250,-47.500,1596.750,0.000,1596.750
6 Lemon Squares,Bread & Butter Bakery and Fine Pastries,Squares,85,1641.500,-21.000,-35.000,1585.500,0.000,1585.500
Flourless Chocolate Cake,Bread & Butter Bakery and Fine Pastries,,31,1697.000,0.000,-128.000,1569.000,0.000,1569.000
6 Blueberry Lemon Buns,Bread & Butter Bakery and Fine Pastries,Breakfast,55,1637.500,0.000,-86.500,1551.000,0.000,1551.000
Flourless Vanilla Cake,Bread & Butter Bakery and Fine Pastries,,29,1559.000,0.000,-62.000,1497.000,43.680,1540.680
6 Flourless Cupcakes,Bread & Butter Bakery and Fine Pastries,,56,1546.500,0.000,-27.000,1519.500,0.000,1519.500
6 Peanut Butter Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,152,1782.250,-262.770,-12.150,1507.330,0.000,1507.330
6 Gingerbread Men,Bread & Butter Bakery and Fine Pastries,,99,1522.500,-16.500,0.000,1506.000,0.000,1506.000
Copy of Jam Filled Layer Cake,Bread & Butter Bakery and Fine Pastries,,16,1830.000,-13.000,-332.000,1485.000,0.000,1485.000
6 Almond Croissant,Bread & Butter Bakery and Fine Pastries,Breakfast,41,1499.400,0.000,-35.700,1463.700,0.000,1463.700
6 Raisin Scones,Bread & Butter Bakery and Fine Pastries,scones,60,1444.000,0.000,-22.500,1421.500,0.000,1421.500
Plain Cheesecake -Choice of Topping,Bread & Butter Bakery and Fine Pastries,Cakes,32,1494.000,0.000,-80.000,1414.000,0.000,1414.000
6 Buttermilk Biscuits,Bread & Butter Bakery and Fine Pastries,scones,80,1397.200,0.000,0.000,1397.200,0.000,1397.200
