product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Pear Apple Cranberry Crumble Pie,"8""",,70,1639.500,-163.650,0.000,1475.850,50.660,1526.510
6 Peanut Butter Cookies,,,152,1782.250,-262.770,-12.150,1507.330,0.000,1507.330
6 Gingerbread Men,,,99,1522.500,-16.500,0.000,1506.000,0.000,1506.000
Cookie Trays - Individually Wrapped,4 Dozen,,22,1364.000,-12.600,0.000,1351.400,152.540,1503.940
Sourdough Bread,Large- Unsliced,,168,1490.850,-1.650,-6.600,1482.600,0.000,1482.600
6 Raisin Scones,,,60,1444.000,0.000,-22.500,1421.500,0.000,1421.500
Cookie Trays,2 Dozen- Individually Wrapped,,30,1320.000,0.000,0.000,1320.000,95.160,1415.160
6 Buttermilk Biscuits,,,80,1397.200,0.000,0.000,1397.200,0.000,1397.200
Plain Cheesecake with Choice of Topping,"6"" Serves 4-6 / Fresh Berries",,36,1416.000,0.000,-40.000,1376.000,0.000,1376.000
6 Peanut Butter Hello Dolly Squares (Gluten Free),,,58,1467.300,-28.600,-67.800,1370.900,0.000,1370.900
Bumbleberry Crumble,"8""",,58,1368.100,-4.590,0.000,1363.510,0.000,1363.510
Cookie Trays,4 Dozen,,20,1516.000,-164.000,-128.000,1224.000,100.880,1324.880
6 Almond Croissant,Almond Croissant,,37,1356.600,0.000,-35.700,1320.900,0.000,1320.900
Buttertarts,6 Tarts / Raisin,,60,1372.500,-48.370,-22.500,1301.630,0.000,1301.630
Vanilla Buttercake,Full Slab Serves 70,,5,1300.000,0.000,0.000,1300.000,0.000,1300.000
Mini Dessert Box for Mom,,,66,1294.100,-3.790,0.000,1290.310,0.000,1290.310
Copy of Vanilla Buttercake,1/2 Slab Serves 35-40,,11,1455.000,-166.840,0.000,1288.160,0.000,1288.160
Shepherds Pie,Large,,33,1269.000,0.000,0.000,1269.000,0.000,1269.000
6 Carrot Ginger Pecan Muffins,,,68,1277.500,0.000,-15.500,1262.000,0.000,1262.000
Buffet Dinner,,,17,1105.000,0.000,0.000,1105.000,143.650,1248.650
Charcuterie Board,Small,,66,1230.000,0.000,-69.000,1161.000,51.480,1212.480
Lunch Box - Individual,Cobb Salad *Does not contain gluten,,65,1122.000,-35.700,-17.000,1069.300,139.010,1208.310
6 Shortbread Snowflakes,,,60,1245.000,-19.500,-19.500,1206.000,0.000,1206.000
Valentine's Day Treat Box,,,62,1193.850,0.000,-18.950,1174.900,0.000,1174.900
Local Cured Meats Platter,Small,,21,1210.000,-110.000,-55.000,1045.000,128.700,1173.700
Easter Dinner for 2,,,13,1200.000,0.000,-160.000,1040.000,122.400,1162.400
Plain Cheesecake with Choice of Topping,"8"" Serves 8-10 / Fresh Berries",,20,1156.000,0.000,0.000,1156.000,0.000,1156.000
Sourdough Bread,Large- Regular Slice,,133,1176.900,-12.390,-8.950,1155.560,0.000,1155.560
Crostini,,,146,1213.150,-38.770,-23.850,1150.530,0.000,1150.530
6 Croissant Pecan Sticky Buns,,,34,1176.000,0.000,-33.000,1143.000,0.000,1143.000
Copy of Chocolate Buttercake,1/2 Slab Serves 35-40,,10,1270.000,-9.160,-120.000,1140.840,0.000,1140.840
Brownie Cobbler,,,194,1049.700,-35.700,0.000,1014.000,125.680,1139.680
Assorted Scone Selection,Small,,16,988.000,0.000,0.000,988.000,128.440,1116.440
Buttered Rum Sauce - 500ml,,,86,1131.000,-2.590,-13.000,1115.410,0.000,1115.410
Peach Pie,"8""",,54,1103.300,0.000,0.000,1103.300,0.000,1103.300
Beef Pie,,,116,1084.700,0.000,0.000,1084.700,0.000,1084.700
Bumbleberry Crumble,"9""",,33,1091.300,0.000,-28.950,1062.350,0.000,1062.350
Copy of Carrot Cake,"10"" Serves 14-16",,16,1068.000,-6.500,0.000,1061.500,0.000,1061.500
Lunch Box - Individual,Vegan Chickpea on Sourdough,,60,976.000,-33.600,-16.000,926.400,120.430,1046.830
6 Oatmeal Chocolate Chip Cookies,,,142,1130.600,-82.940,-6.950,1040.710,0.000,1040.710
6 Vegan Chocolate Chip Peanut Butter Cookies,,,115,1074.200,-31.450,-7.950,1034.800,0.000,1034.800
Pear Apple Cranberry Crumble Pie,"9""",,30,1026.450,0.000,-32.950,993.500,34.250,1027.750
Trifle Cake,"8"" / Splenda Whipped Cream",,21,1024.000,0.000,0.000,1024.000,0.000,1024.000
Lunch Box - Individual,Tuna Salad on Multigrain Sourdough,,67,942.000,-42.000,0.000,900.000,117.000,1017.000
6 Mini Egg Hello Dolly Squares,,,43,1036.700,-23.700,0.000,1013.000,0.000,1013.000
Deposit for Event,,,2,1000.000,0.000,0.000,1000.000,0.000,1000.000
Copy of Vanilla Buttercake with Raspberry Buttercream,1/4 Slab Serves 15-20,,16,1130.000,-140.000,0.000,990.000,0.000,990.000
Copy of Chocolate Buttercake,"10"" Serves 14-16",,16,1057.000,-13.000,-59.000,985.000,0.000,985.000
Whole Wheat Bread,Regular Slices,,163,981.750,0.000,-11.900,969.850,0.000,969.850
Brunch Box for 2 - Baked French Toast,Meat Option (Sausage & Onion Sautee),,18,864.000,-9.600,0.000,854.400,111.070,965.470
Fruitcake,1 Pound,,56,952.000,0.000,0.000,952.000,0.000,952.000
Assorted Baking,,,1,950.000,0.000,0.000,950.000,0.000,950.000
Strawberry Rhubarb Pie,"8""",,44,991.750,-21.950,-23.950,945.850,0.000,945.850
Salmon & Shrimp Pie,,,60,945.000,0.000,0.000,945.000,0.000,945.000
Will You Be My Valentine Treat Box,,,50,966.450,-11.370,-18.950,936.130,0.000,936.130
Copy of Vanilla Buttercake with Raspberry Buttercream,"10"" Serves 14-16",,16,1104.000,-59.000,-118.000,927.000,0.000,927.000
Lunch Box - Individual,Chicken with Smoked Gouda and Chive Aioli on Italian  $16.00,,51,816.000,0.000,0.000,816.000,106.080,922.080
Copy of Vanilla Buttercake with Raspberry Buttercream,1/2 Slab Serves 35-40,,8,1140.000,0.000,-230.000,910.000,0.000,910.000
Copy of Vanilla Buttercake,1/4 Slab Serves 15-20,,12,982.000,0.000,-82.000,900.000,0.000,900.000
Buttertarts,12 Tarts / Pecan,,20,945.000,0.000,-45.000,900.000,0.000,900.000
Sourdough Bread,Large,,109,899.250,-17.320,0.000,881.930,0.000,881.930
Red Pepper Goat Cheese Dip,,,79,780.500,-1.600,0.000,778.900,101.410,880.310
Brunch Box for 2 - Quiche,1 Ham & 1 Asparagus,,16,816.000,0.000,-48.000,768.000,96.000,864.000
